"ID","Continent","LocX","LocY","LocZ","AreaName_Lang_enUS","AreaName_Lang_enGB","AreaName_Lang_koKR","AreaName_Lang_frFR","AreaName_Lang_deDE","AreaName_Lang_enCN","AreaName_Lang_zhCN","AreaName_Lang_enTW","AreaName_Lang_zhTW","AreaName_Lang_esES","AreaName_Lang_esMX","AreaName_Lang_ruRU","AreaName_Lang_ptPT","AreaName_Lang_ptBR","AreaName_Lang_itIT","AreaName_Lang_Unk","AreaName_Lang_Mask"
"5000","900","2723.209","1978.284","285.9737","Stonetalon Ruins GY","","","","","","","","","","","","","","","","0"
"5001","901","9948.516","-387.6605","12.00058","Demonyunter Cove GY","","","","","","","","","","","","","","","","0"
"5003","904","2504.312","2591.502","63.51176","Blackchar Cave GY","","","","","","","","","","","","","","","","0"
"5002","902","1685.99","1774.264","144.7897","Stonetalon Logging Camp GY","","","","","","","","","","","","","","","","0"
"5007","908","4233.918","-2685.459","5.032512","Quelthalas Island GY","","","","","","","","","","","","","","","","0"
"5004","905","-12978.39","-1281.253","45.77729","Sandfury Oasis GY","","","","","","","","","","","","","","","","0"
"5005","906","-1996.719","-4041.042","3.033362","Arathi Farmlands GY","","","","","","","","","","","","","","","","0"
"5006","907","-8357.601","-341.7997","146.8458","Elwynnfalls GY","","","","","","","","","","","","","","","","0"
"5008","909","-5929.585","965.1906","486.6748","Forgotten Gnome Camp GY","","","","","","","","","","","","","","","","0"
"5009","903","2610.055","2829.301","35.44543","Old Ironforge GY","","","","","","","","","","","","","","","","0"
"5010","910","-6380.3","-848.043","397.492","Newmans Landing GY","","","","","","","","","","","","","","","","0"
"5011","911","-11632.07","-2349.734","9.686516","Altar of Storms GY","","","","","","","","","","","","","","","","0"
"5012","805","12819.95","15279.51","6.315378","Mustafar GY","","","","","","","","","","","","","","","","0"
